code,name,site,city,country,floors,areaSqm
W-B25,W-B25,0169,OXAGON,Saudi Arabia,2,0
W-B26,W-B26,0169,OXAGON,Saudi Arabia,2,0
W-B27,W-B27,0169,OXAGON,Saudi Arabia,2,0
W-B28,W-B28,0169,OXAGON,Saudi Arabia,2,0
W-B29,W-B29,0169,OXAGON,Saudi Arabia,2,0
W-B30,W-B30,0169,OXAGON,Saudi Arabia,2,0
W-B31,W-B31,0169,OXAGON,Saudi Arabia,2,0
W-B32,W-B32,0169,OXAGON,Saudi Arabia,2,0
W-B33,W-B33,0169,OXAGON,Saudi Arabia,2,0
W-B34,W-B34,0169,OXAGON,Saudi Arabia,2,0
W-B35,W-B35,0169,OXAGON,Saudi Arabia,2,0
W-B36,W-B36,0169,OXAGON,Saudi Arabia,2,0
W-B37,W-B37,0169,OXAGON,Saudi Arabia,2,0
W-B38,W-B38,0169,OXAGON,Saudi Arabia,2,0
W-B39,W-B39,0169,OXAGON,Saudi Arabia,2,0
W-B40,W-B40,0169,OXAGON,Saudi Arabia,2,0
W-B41,W-B41,0169,OXAGON,Saudi Arabia,2,0
W-B42,W-B42,0169,OXAGON,Saudi Arabia,2,0
W-B43,W-B43,0169,OXAGON,Saudi Arabia,2,0
W-B44,W-B44,0169,OXAGON,Saudi Arabia,2,0
W-B45,W-B45,0169,OXAGON,Saudi Arabia,2,0
W-B46,W-B46,0169,OXAGON,Saudi Arabia,2,0
W-B47,W-B47,0169,OXAGON,Saudi Arabia,2,0
W-B48,W-B48,0169,OXAGON,Saudi Arabia,2,0
W-B49,W-B49,0169,OXAGON,Saudi Arabia,2,0
W-B50,W-B50,0169,OXAGON,Saudi Arabia,2,0
W-B51,W-B51,0169,OXAGON,Saudi Arabia,2,0
W-B52,W-B52,0169,OXAGON,Saudi Arabia,2,0
W-B53,W-B53,0169,OXAGON,Saudi Arabia,2,0
W-B54,W-B54,0169,OXAGON,Saudi Arabia,2,0
W-B55,W-B55,0169,OXAGON,Saudi Arabia,2,0
W-B56,W-B56,0169,OXAGON,Saudi Arabia,2,0
W-B57,W-B57,0169,OXAGON,Saudi Arabia,2,0
W-B58,W-B58,0169,OXAGON,Saudi Arabia,2,0
E-B01,E-B01,0169,OXAGON,Saudi Arabia,2,0
E-B02,E-B02,0169,OXAGON,Saudi Arabia,2,0
E-B06,E-B06,0169,OXAGON,Saudi Arabia,2,0
E-B07,E-B07,0169,OXAGON,Saudi Arabia,2,0
E-B08,E-B08,0169,OXAGON,Saudi Arabia,2,0
E-B09,E-B09,0169,OXAGON,Saudi Arabia,2,0
E-B10,E-B10,0169,OXAGON,Saudi Arabia,2,0
E-B11,E-B11,0169,OXAGON,Saudi Arabia,2,0
E-B12,E-B12,0169,OXAGON,Saudi Arabia,2,0
E-B13,E-B13,0169,OXAGON,Saudi Arabia,2,0
E-B14,E-B14,0169,OXAGON,Saudi Arabia,2,0
E-B15,E-B15,0169,OXAGON,Saudi Arabia,2,0
E-B16,E-B16,0169,OXAGON,Saudi Arabia,2,0
E-B17,E-B17,0169,OXAGON,Saudi Arabia,2,0
E-B18,E-B18,0169,OXAGON,Saudi Arabia,2,0
E-B19,E-B19,0169,OXAGON,Saudi Arabia,2,0
E-B20,E-B20,0169,OXAGON,Saudi Arabia,2,0
E-B21,E-B21,0169,OXAGON,Saudi Arabia,2,0
E-B22,E-B22,0169,OXAGON,Saudi Arabia,2,0
E-B23,E-B23,0169,OXAGON,Saudi Arabia,2,0
E-B24,E-B24,0169,OXAGON,Saudi Arabia,2,0
E-B25,E-B25,0169,OXAGON,Saudi Arabia,2,0
E-B26,E-B26,0169,OXAGON,Saudi Arabia,2,0
E-B27,E-B27,0169,OXAGON,Saudi Arabia,2,0
E-B28,E-B28,0169,OXAGON,Saudi Arabia,2,0
E-B29,E-B29,0169,OXAGON,Saudi Arabia,2,0
E-B30,E-B30,0169,OXAGON,Saudi Arabia,2,0
E-B31,E-B31,0169,OXAGON,Saudi Arabia,2,0
E-B32,E-B32,0169,OXAGON,Saudi Arabia,2,0
E-B33,E-B33,0169,OXAGON,Saudi Arabia,2,0
E-B34,E-B34,0169,OXAGON,Saudi Arabia,2,0
E-B35,E-B35,0169,OXAGON,Saudi Arabia,2,0
E-B36,E-B36,0169,OXAGON,Saudi Arabia,2,0
E-B37,E-B37,0169,OXAGON,Saudi Arabia,2,0
E-B38,E-B38,0169,OXAGON,Saudi Arabia,2,0
E-B39,E-B39,0169,OXAGON,Saudi Arabia,2,0
E-B40,E-B40,0169,OXAGON,Saudi Arabia,2,0
E-B41,E-B41,0169,OXAGON,Saudi Arabia,2,0
E-B42,E-B42,0169,OXAGON,Saudi Arabia,2,0
E-B43,E-B43,0169,OXAGON,Saudi Arabia,2,0
E-B44,E-B44,0169,OXAGON,Saudi Arabia,2,0
E-B45,E-B45,0169,OXAGON,Saudi Arabia,2,0
E-B46,E-B46,0169,OXAGON,Saudi Arabia,2,0
E-B47,E-B47,0169,OXAGON,Saudi Arabia,2,0
E-B48,E-B48,0169,OXAGON,Saudi Arabia,2,0
E-B49,E-B49,0169,OXAGON,Saudi Arabia,2,0
E-B50,E-B50,0169,OXAGON,Saudi Arabia,2,0
E-B51,E-B51,0169,OXAGON,Saudi Arabia,2,0
